"location","time","life_expectancy","fertility_rate","pop_mlns"
"AUS",2000,79.3,1.8,19.029
"AUT",2000,78.2,1.4,8.011566
"BEL",2000,77.8,1.6,10.25125
"CAN",2000,79,1.5,30.68573
"CZE",2000,75.1,1.1,10.2725
"DNK",2000,76.9,1.8,5.339616
"FIN",2000,77.7,1.7,5.176
"FRA",2000,79.2,1.9,59.06239
"DEU",2000,78.2,1.4,82.16
"GRC",2000,78.6,1.3,10.91748
"HUN",2000,71.9,1.3,10.211
"ISL",2000,79.7,2.1,0.2812
"IRL",2000,76.6,1.9,3.7895
"ITA",2000,79.9,1.3,57.189
"JPN",2000,81.2,1.4,126.926
"KOR",2000,76,1.5,47.00811
"LUX",2000,78,1.8,0.4363
"MEX",2000,73.3,2.6,98.43855
"NLD",2000,78.2,1.7,15.92551
"NZL",2000,78.4,2,3.8577
"NOR",2000,78.8,1.9,4.491
"POL",2000,73.8,1.4,38.256
"PRT",2000,76.9,1.6,10.2899
"SVK",2000,73.4,1.3,5.38872
"ESP",2000,79.3,1.2,40.55439
"SWE",2000,79.7,1.5,8.872109
"CHE",2000,79.9,1.5,7.18425
"TUR",2000,71.1,2.3,64.26875
"GBR",2000,77.9,1.6,58.886
"USA",2000,76.7,2.1,282.1624
"BRA",2000,70.1,2.3,171.2799
"CHL",2000,76.8,2.1,15.39778
"CHN",2000,71.8,1.5,1280.429
"EST",2000,71,1.4,1.396985
"IND",2000,62.7,3.3,1042.262
"IDN",2000,66.3,2.5,208.9387
"ISR",2000,78.8,3,6.2892
"RUS",2000,65.6,1.2,146.597
"SVN",2000,76.1,1.3,1.990272
"ZAF",2000,55.9,2.8,43.69
"COL",2000,72.7,2.4,40.29556
