"location","time","life_expectancy","fertility_rate","pop_mlns"
"AUS",1960,70.9,3.5,10.275
"AUS",1961,71.2,3.5,10.5082
"AUS",1962,71,3.4,10.7005
"AUS",1963,71.1,3.3,10.9069
"AUS",1964,70.7,3.2,11.1216
"AUS",1965,71,3,11.3409
"AUS",1966,70.8,2.9,11.5995
"AUS",1967,71.2,2.8,11.79908
"AUS",1968,70.9,2.9,12.00863
"AUS",1969,71.1,2.9,12.26301
"AUS",1970,70.8,2.9,12.50735
"AUS",1971,71.6,2.9,13.06726
"AUS",1972,72,2.7,13.30366
"AUS",1973,72.1,2.5,13.50454
"AUS",1974,71.9,2.3,13.72257
"AUS",1975,72.7,2.1,13.893
"AUS",1976,72.8,2.1,14.03308
"AUS",1977,73.4,2,14.19223
"AUS",1978,73.7,1.9,14.35925
"AUS",1979,74.3,1.9,14.51573
"AUS",1980,74.6,1.9,14.69536
"AUS",1981,74.9,1.9,14.92326
"AUS",1982,74.7,1.9,15.18425
"AUS",1983,75.5,1.9,15.39347
"AUS",1984,75.8,1.8,15.57939
"AUS",1985,75.6,1.9,15.78831
"AUS",1986,76.1,1.9,16.01835
"AUS",1987,76.3,1.8,16.26387
"AUS",1988,76.3,1.8,16.53216
"AUS",1989,76.5,1.8,16.81442
"AUS",1990,77,1.9,17.06513
"AUS",1991,77.4,1.8,17.28404
"AUS",1992,77.5,1.9,17.479
"AUS",1993,78,1.9,17.635
"AUS",1994,78,1.8,17.805
"AUS",1995,77.9,1.8,18.005
"AUS",1996,78.2,1.8,18.225
"AUS",1997,78.5,1.8,18.423
"AUS",1998,78.7,1.8,18.608
"AUS",1999,79,1.8,18.812
"AUS",2000,79.3,1.8,19.029
"AUS",2001,79.7,1.7,19.275
"AUS",2002,80,1.8,19.495
"AUS",2003,80.3,1.8,19.721
"AUS",2004,80.6,1.8,19.933
"AUS",2005,80.9,1.8,20.177
"AUS",2006,81.1,1.9,20.451
"AUS",2007,81.4,2,20.828
"AUS",2008,81.5,2,21.249
"AUS",2009,81.6,2,21.692
"AUS",2010,81.8,2,22.032
"AUS",2011,82,1.9,22.34
"AUS",2012,82.1,1.9,22.728
"AUS",2013,82.2,1.9,23.126
"AUS",2014,82.4,1.8,23.491
"AUT",1960,68.7,2.7,7.047539
"AUT",1961,69.7,2.8,7.086298
"AUT",1962,69.4,2.8,7.129864
"AUT",1963,69.6,2.8,7.175811
"AUT",1964,70,2.8,7.223801
"AUT",1965,69.8,2.7,7.270888
"AUT",1966,70.2,2.7,7.322066
"AUT",1967,70,2.6,7.376998
"AUT",1968,70.2,2.6,7.415402
"AUT",1969,69.9,2.5,7.441055
"AUT",1970,70,2.3,7.467086
"AUT",1971,70.2,2.2,7.500481
"AUT",1972,70.6,2.1,7.544201
"AUT",1973,71.1,1.9,7.586114
"AUT",1974,71.1,1.9,7.599038
"AUT",1975,71.2,1.8,7.578902
"AUT",1976,71.7,1.7,7.565525
"AUT",1977,72,1.6,7.56843
"AUT",1978,72.1,1.6,7.562304
"AUT",1979,72.4,1.6,7.549424
"AUT",1980,72.6,1.7,7.549432
"AUT",1981,72.9,1.7,7.56871
"AUT",1982,73.1,1.7,7.574139
"AUT",1983,73.1,1.6,7.56191
"AUT",1984,73.7,1.5,7.561434
"AUT",1985,73.9,1.5,7.564984
"AUT",1986,74.4,1.4,7.569794
"AUT",1987,74.9,1.4,7.574585
"AUT",1988,75.3,1.4,7.585317
"AUT",1989,75.4,1.4,7.619566
"AUT",1990,75.7,1.5,7.67785
"AUT",1991,75.7,1.5,7.75489
"AUT",1992,75.9,1.5,7.840709
"AUT",1993,76.2,1.5,7.905632
"AUT",1994,76.5,1.5,7.936117
"AUT",1995,76.8,1.4,7.948278
"AUT",1996,77,1.4,7.959016
"AUT",1997,77.4,1.4,7.968041
"AUT",1998,77.8,1.4,7.976788
"AUT",1999,78,1.3,7.992323
"AUT",2000,78.2,1.4,8.011566
"AUT",2001,78.7,1.3,8.042293
"AUT",2002,78.8,1.4,8.082121
"AUT",2003,78.7,1.4,8.118245
"AUT",2004,79.3,1.4,8.169441
"AUT",2005,79.4,1.4,8.225278
"AUT",2006,80,1.4,8.267948
"AUT",2007,80.3,1.4,8.295189
"AUT",2008,80.5,1.4,8.321541
"AUT",2009,80.4,1.4,8.341483
"AUT",2010,80.7,1.4,8.361069
"AUT",2011,81.1,1.4,8.388534
"AUT",2012,81,1.4,8.426311
"AUT",2013,81.2,1.4,8.46857
"BEL",1960,69.8,2.5,9.153489
"BEL",1961,70.6,2.6,9.183947
"BEL",1962,70.3,2.6,9.220577
"BEL",1963,70.1,2.7,9.28977
"BEL",1964,70.9,2.7,9.378113
"BEL",1965,70.7,2.6,9.463667
"BEL",1966,70.8,2.5,9.527807
"BEL",1967,71.1,2.4,9.58099
"BEL",1968,70.8,2.3,9.618755
"BEL",1969,70.9,2.3,9.646032
"BEL",1970,71.1,2.3,9.655549
"BEL",1971,71.2,2.2,9.673161
"BEL",1972,71.5,2.1,9.711114
"BEL",1973,71.7,2,9.74172
"BEL",1974,72.1,1.8,9.772419
"BEL",1975,72.1,1.7,9.8007
"BEL",1976,72.2,1.7,9.818227
"BEL",1977,72.9,1.7,9.830357
"BEL",1978,72.8,1.7,9.839533
"BEL",1979,73.3,1.7,9.848382
"BEL",1980,73.3,1.7,9.859242
"BEL",1981,73.7,1.7,9.858981
"BEL",1982,74,1.6,9.856303
"BEL",1983,74,1.6,9.85552
"BEL",1984,74.5,1.5,9.855372
"BEL",1985,74.6,1.5,9.858308
"BEL",1986,74.8,1.5,9.861823
"BEL",1987,75.5,1.5,9.870233
"BEL",1988,75.7,1.6,9.901664
"BEL",1989,75.7,1.6,9.937697
"BEL",1990,76.1,1.6,9.967378
"BEL",1991,76.3,1.7,10.00449
"BEL",1992,76.5,1.6,10.04516
"BEL",1993,76.5,1.6,10.08447
"BEL",1994,76.8,1.5,10.1156
"BEL",1995,77,1.5,10.13681
"BEL",1996,77.3,1.6,10.15664
"BEL",1997,77.5,1.6,10.18125
"BEL",1998,77.6,1.6,10.20301
"BEL",1999,77.7,1.6,10.22642
"BEL",2000,77.8,1.6,10.25125
"BEL",2001,78.1,1.6,10.28657
"BEL",2002,78.2,1.6,10.33278
"BEL",2003,78.2,1.6,10.37613
"BEL",2004,79,1.7,10.42114
"BEL",2005,79.1,1.7,10.47862
"BEL",2006,79.5,1.8,10.54796
"BEL",2007,79.9,1.8,10.6257
"BEL",2008,79.8,1.9,10.70997
"BEL",2009,80.1,1.8,10.79649
"BEL",2010,80.3,1.8,10.92027
"BEL",2011,80.7,1.8,11.04774
"BEL",2012,80.5,1.8,11.12825
"BEL",2013,80.7,1.7,11.17844
"BEL",2014,81.4,1.7,11.22728
"CAN",1961,71.3,3.8,18.635
"CAN",1966,72,2.8,20.421
"CAN",1971,72.9,2.2,21.962
"CAN",1976,73.9,1.8,23.45
"CAN",1979,75.1,1.7,24.202
"CAN",1980,75.3,1.7,24.516
"CAN",1981,75.5,1.7,24.82
"CAN",1982,75.6,1.6,25.117
"CAN",1983,75.9,1.6,25.366
"CAN",1984,76.2,1.6,25.607
"CAN",1985,76.3,1.6,25.842
"CAN",1986,76.5,1.6,26.1
"CAN",1987,76.6,1.6,26.447
"CAN",1988,76.8,1.6,26.792
"CAN",1989,77,1.7,27.277
"CAN",1990,77.2,1.7,27.69114
"CAN",1991,77.5,1.7,28.03742
"CAN",1992,77.7,1.7,28.37126
"CAN",1993,77.8,1.7,28.68476
"CAN",1994,77.9,1.6,29.00066
"CAN",1995,77.9,1.6,29.30231
"CAN",1996,78.1,1.6,29.61022
"CAN",1997,78.3,1.6,29.90595
"CAN",1998,78.5,1.5,30.15517
"CAN",1999,78.7,1.5,30.40129
"CAN",2000,79,1.5,30.68573
"CAN",2001,79.2,1.5,31.01902
"CAN",2002,79.4,1.5,31.35366
"CAN",2003,79.6,1.5,31.63967
"CAN",2004,79.8,1.5,31.94068
"CAN",2005,80,1.5,32.24521
"CAN",2006,80.3,1.6,32.57607
"CAN",2007,80.4,1.7,32.92752
"CAN",2008,80.6,1.7,33.31766
"CAN",2009,80.8,1.7,33.72691
"CAN",2010,81.1,1.6,34.12655
"CAN",2011,81.3,1.6,34.48398
"CAN",2012,81.5,1.6,34.88049
"CAN",2013,81.7,1.6,35.154
"CAN",2014,81.8,1.6,35.54
"CZE",1960,70.7,2.1,9.659818
"CZE",1961,70.7,2.1,9.588016
"CZE",1962,69.9,2.1,9.621808
"CZE",1963,70.5,2.3,9.668741
"CZE",1964,70.7,2.4,9.730019
"CZE",1965,70.4,2.2,9.785102
"CZE",1966,70.6,2,9.826188
"CZE",1967,70.5,1.9,9.854241
"CZE",1968,70.1,1.8,9.877632
"CZE",1969,69.6,1.9,9.896695
"CZE",1970,69.6,1.9,9.805157
"CZE",1971,69.8,2,9.830602
"CZE",1972,70.3,2.1,9.868379
"CZE",1973,70.2,2.3,9.919519
"CZE",1974,70.2,2.4,9.994761
"CZE",1975,70.6,2.4,10.06237
"CZE",1976,70.7,2.4,10.12822
"CZE",1977,70.8,2.3,10.18931
"CZE",1978,70.9,2.3,10.24569
"CZE",1979,70.9,2.3,10.29649
"CZE",1980,70.5,2.1,10.32679
"CZE",1981,70.8,2,10.30321
"CZE",1982,70.9,2,10.31432
"CZE",1983,70.8,2,10.32282
"CZE",1984,71,2,10.33048
"CZE",1985,71.2,2,10.33674
"CZE",1986,71.1,1.9,10.34074
"CZE",1987,71.6,1.9,10.34883
"CZE",1988,71.8,1.9,10.35636
"CZE",1989,71.9,1.9,10.36226
"CZE",1990,71.6,1.9,10.36274
"CZE",1991,72,1.9,10.30868
"CZE",1992,72.5,1.7,10.31781
"CZE",1993,72.9,1.7,10.33061
"CZE",1994,73.2,1.4,10.33616
"CZE",1995,73.3,1.3,10.33076
"CZE",1996,74,1.2,10.31535
"CZE",1997,74.1,1.2,10.30364
"CZE",1998,74.7,1.2,10.29494
"CZE",1999,74.9,1.1,10.28278
"CZE",2000,75.1,1.1,10.2725
"CZE",2001,75.3,1.1,10.22419
"CZE",2002,75.4,1.2,10.20077
"CZE",2003,75.3,1.2,10.20165
"CZE",2004,75.8,1.2,10.20692
"CZE",2005,76.1,1.3,10.23409
"CZE",2006,76.7,1.3,10.26665
"CZE",2007,77,1.4,10.32269
"CZE",2008,77.3,1.5,10.42969
"CZE",2009,77.4,1.5,10.49149
"CZE",2010,77.7,1.5,10.51725
"CZE",2011,78,1.4,10.49667
"CZE",2012,78.2,1.5,10.50929
"CZE",2013,78.3,1.5,10.51072
"CZE",2014,78.9,1.5,10.52478
"DNK",1960,72.4,2.5,4.579603
"DNK",1967,72.6,2.4,4.835354
"DNK",1968,73,2.1,4.864882
"DNK",1969,73.2,2,4.891859
"DNK",1970,73.3,2,4.928757
"DNK",1971,73.3,2,4.963125
"DNK",1972,73.4,2,4.991596
"DNK",1973,73.6,1.9,5.021861
"DNK",1974,74,1.9,5.045297
"DNK",1975,74.2,1.9,5.059861
"DNK",1976,73.9,1.7,5.072596
"DNK",1977,74.9,1.7,5.088419
"DNK",1978,74.6,1.7,5.104248
"DNK",1979,74.4,1.6,5.116801
"DNK",1980,74.3,1.5,5.123027
"DNK",1981,74.4,1.4,5.121572
"DNK",1982,74.7,1.4,5.11781
"DNK",1983,74.6,1.4,5.114297
"DNK",1984,74.8,1.4,5.111619
"DNK",1985,74.6,1.4,5.11369
"DNK",1986,74.8,1.5,5.120534
"DNK",1987,74.9,1.5,5.127024
"DNK",1988,75,1.6,5.129516
"DNK",1989,75,1.6,5.132593
"DNK",1990,74.9,1.7,5.140939
"DNK",1991,75.3,1.7,5.154297
"DNK",1992,75.3,1.8,5.17137
"DNK",1993,75.2,1.8,5.188628
"DNK",1994,75.5,1.8,5.20618
"DNK",1995,75.3,1.8,5.233373
"DNK",1996,75.7,1.8,5.263074
"DNK",1997,76.1,1.8,5.284991
"DNK",1998,76.5,1.7,5.304218
"DNK",1999,76.6,1.7,5.321798
"DNK",2000,76.9,1.8,5.339616
"DNK",2001,77,1.7,5.358783
"DNK",2002,77.1,1.7,5.375931
"DNK",2003,77.4,1.8,5.390574
"DNK",2004,77.8,1.8,5.404522
"DNK",2005,78.3,1.8,5.419432
"DNK",2006,78.4,1.8,5.437271
"DNK",2007,78.4,1.8,5.461438
"DNK",2008,78.8,1.9,5.493621
"DNK",2009,79,1.8,5.523095
"DNK",2010,79.3,1.9,5.547683
"DNK",2011,79.9,1.8,5.570572
"DNK",2012,80.1,1.7,5.591572
"DNK",2013,80.4,1.7,5.614932
"FIN",1960,69,2.7,4.43
"FIN",1963,69,2.7,4.523
"FIN",1968,69.8,2.1,4.626
"FIN",1970,70.8,1.8,4.606
"FIN",1971,70.1,1.7,4.612
"FIN",1972,70.7,1.6,4.64
"FIN",1973,71.2,1.5,4.666
"FIN",1974,71.2,1.6,4.691
"FIN",1975,71.7,1.7,4.712
"FIN",1976,72,1.7,4.726
"FIN",1977,72.4,1.7,4.739
"FIN",1978,73,1.7,4.753
"FIN",1979,73.2,1.6,4.765
"FIN",1980,73.6,1.6,4.779
"FIN",1981,73.9,1.6,4.8
"FIN",1982,74.6,1.7,4.827
"FIN",1983,74.4,1.7,4.856
"FIN",1984,74.8,1.7,4.882
"FIN",1985,74.5,1.6,4.902
"FIN",1986,74.8,1.6,4.918
"FIN",1987,74.8,1.6,4.932
"FIN",1988,74.8,1.7,4.947
"FIN",1989,75,1.7,4.964
"FIN",1990,75,1.8,4.986
"FIN",1991,75.5,1.8,5.014
"FIN",1992,75.7,1.9,5.042
"FIN",1993,75.8,1.8,5.066
"FIN",1994,76.6,1.9,5.088
"FIN",1995,76.6,1.8,5.108
"FIN",1996,76.9,1.8,5.125
"FIN",1997,77.1,1.8,5.14
"FIN",1998,77.3,1.7,5.153
"FIN",1999,77.5,1.7,5.165
"FIN",2000,77.7,1.7,5.176
"FIN",2001,78.2,1.7,5.188
"FIN",2002,78.3,1.7,5.201
"FIN",2003,78.5,1.8,5.213
"FIN",2004,79,1.8,5.228
"FIN",2005,79.1,1.8,5.246
"FIN",2006,79.5,1.8,5.267
"FIN",2007,79.6,1.8,5.289
"FIN",2008,79.9,1.9,5.313
"FIN",2009,80.1,1.9,5.339
"FIN",2010,80.2,1.9,5.363
"FIN",2011,80.6,1.8,5.388
"FIN",2012,80.7,1.8,5.414
"FIN",2013,81.1,1.8,5.439
"FIN",2014,81.3,1.7,5.472
"FRA",1960,70.3,2.7,45.68423
"FRA",1961,71,2.8,46.16283
"FRA",1962,70.5,2.8,46.9977
"FRA",1963,70.5,2.9,47.81622
"FRA",1964,71.4,2.9,48.31041
"FRA",1965,71.3,2.8,48.7578
"FRA",1966,71.5,2.8,49.16366
"FRA",1967,71.5,2.7,49.5483
"FRA",1968,71.5,2.6,49.9154
"FRA",1969,71.3,2.5,50.31798
"FRA",1970,72.2,2.5,50.77223
"FRA",1971,72.1,2.5,51.25109
"FRA",1972,72.4,2.4,51.70091
"FRA",1973,72.5,2.3,52.1183
"FRA",1974,72.8,2.1,52.46036
"FRA",1975,73,1.9,52.69917
"FRA",1976,73.2,1.8,52.90867
"FRA",1977,73.8,1.9,53.14529
"FRA",1978,73.9,1.8,53.37632
"FRA",1979,74.2,1.9,53.60623
"FRA",1980,74.3,1.9,53.88001
"FRA",1981,74.5,1.9,54.18182
"FRA",1982,74.8,1.9,54.49249
"FRA",1983,74.8,1.8,54.77242
"FRA",1984,75.3,1.8,55.02608
"FRA",1985,75.4,1.8,55.28427
"FRA",1986,75.7,1.8,55.54651
"FRA",1987,76.3,1.8,55.82396
"FRA",1988,76.6,1.8,56.11798
"FRA",1989,76.7,1.8,56.42341
"FRA",1990,77,1.8,56.70883
"FRA",1991,77.2,1.8,56.9756
"FRA",1992,77.5,1.7,57.23985
"FRA",1993,77.6,1.7,57.46709
"FRA",1994,78,1.7,57.65877
"FRA",1995,78.1,1.7,57.84425
"FRA",1996,78.3,1.7,58.02599
"FRA",1997,78.6,1.7,58.20749
"FRA",1998,78.8,1.8,58.39779
"FRA",1999,78.9,1.8,58.67741
"FRA",2000,79.2,1.9,59.06239
"FRA",2001,79.3,1.9,59.47623
"FRA",2002,79.4,1.9,59.89387
"FRA",2003,79.3,1.9,60.30363
"FRA",2004,80.3,1.9,60.73434
"FRA",2005,80.4,1.9,61.1815
"FRA",2006,81,2,61.59748
"FRA",2007,81.2,2,61.96505
"FRA",2008,81.4,2,62.30029
"FRA",2009,81.5,2,62.61547
"FRA",2010,81.8,2,62.91779
"FRA",2011,82.3,2,63.22316
"FRA",2012,82.1,2,63.514
"FRA",2013,82.3,2,63.78614
"FRA",2014,82.8,2,64.06225
"DEU",1960,69.1,2.4,55.585
"DEU",1961,69.7,2.4,56.175
"DEU",1962,69.9,2.4,56.837
"DEU",1963,70,2.5,57.389
"DEU",1964,70.6,2.5,57.971
"DEU",1965,70.5,2.5,58.619
"DEU",1966,70.6,2.5,59.148
"DEU",1967,70.9,2.5,59.286
"DEU",1968,70.5,2.4,59.5
"DEU",1969,70.3,2.2,60.067
"DEU",1970,70.6,2,60.651
"DEU",1971,70.8,2,61.302
"DEU",1972,71,1.7,61.672
"DEU",1973,71.3,1.6,61.976
"DEU",1974,71.5,1.5,62.054
"DEU",1975,71.4,1.5,61.829
"DEU",1976,71.8,1.5,61.531
"DEU",1977,72.5,1.5,61.4
"DEU",1978,72.4,1.5,61.327
"DEU",1979,72.8,1.5,61.359
"DEU",1980,72.9,1.6,61.566
"DEU",1981,73.2,1.5,61.682
"DEU",1982,73.5,1.5,61.638
"DEU",1983,73.8,1.4,61.423
"DEU",1984,74.3,1.4,61.175
"DEU",1985,74.4,1.4,61.024
"DEU",1986,74.6,1.4,61.066
"DEU",1987,75,1.4,61.077
"DEU",1988,75.2,1.5,61.45
"DEU",1989,75.4,1.4,62.063
"DEU",1990,75.3,1.5,63.254
